date,daily_discharge_max
2479,0.364515072
2480,6.025415842
2481,1.585522142
2482,0.886932958
2483,5.753363407
2484,5.340707957
2486,1.304731151
2487,1.6814032
2488,0.832685528
2489,1.155740514
2490,1.093160645
2491,0.912611012
2493,0.574953003
2494,2.042805657
2495,1.027812428
2496,0.695297958
2498,12.1312339
2500,178.9276904
2501,1121.397696
2502,204.0051414
2503,0.538080133
2504,0.832685528
2506,0.632590034
2507,371.4702504
2508,1.820432699
2509,1.093160645
2510,0.886932958
2511,2.818826803
2512,0.737235655
2513,3.82747828
2514,16.60346962
2515,0.534834512
2516,4.748383494
2517,0.938946674
2518,0.871835781
2520,0.503321182
2521,0.337786392
2522,0.450725892
2523,1.33357966
2524,0.464822331
2528,103.06595
2529,2.336441009
2530,1.362992833
2531,105.154654
2532,4.839046585
2533,0.691222983
2534,6.081176068
2548,0.528395345
2550,0.308812479
2551,0.291372178
2552,0.663286619
2553,0.886932958
2563,0.300950069
2564,0.405591986
2565,0.260798023
2566,0.237793731
2568,0.534834512
2569,16.9479118
2570,2.680445359
2571,0.456318275
2572,1.518870535
2573,4.194924783
2574,20.50911783
2575,0.955069808
2577,45.72552112
2578,2.16277765
2579,0.376194825
2580,0.299012444
2585,0.308812479
2586,0.473466738
2587,0.353158259
2589,1.074982627
2590,0.691222983
2592,8.801125808
2593,1.004923591
2594,0.75903433
2595,1.326314968
2596,17.5122205
2597,1.820432699
2598,0.515723043
2599,0.442451337
2600,0.350924957
2601,0.902261689
2602,1.208072336
2603,0.741550396
2605,0.842323887
2606,0.400555274
2607,0.410684823
2608,0.388205506
2613,0.280236477
2614,0.329271699
2615,1.949079144
2616,60.59864469
2618,1.283459616
2637,0.408131355
2638,0.308812479
2639,0.320948024
2640,0.479411872
2641,0.736487286
2642,1.426414864
2643,0.412001913
2644,0.328168231
2645,0.302230017
2646,0.392554098
2647,0.372531514
2648,0.869988784
2650,5.027513468
2651,0.933552277
2671,1.967475983
2672,0.438127514
2673,0.94040301
2674,0.937727628
2675,0.524935057
2686,0.672016173
2694,0.141549117
2695,0.146602116
2696,0.160497052
2697,0.881874989
2700,0.137618638
2701,0.250707846
2706,0.525201636
2716,0.116840375
2717,0.257395307
2718,0.197115175
2719,0.12372764
2726,0.171968158
2735,0.152876559
2736,0.176756546
2737,0.131904436
2738,0.155020365
2739,0.378570228
2743,0.24579391
2744,0.464822331
2745,0.237793731
2746,0.15828611
2751,0.27124697
2752,0.353158259
2753,0.250707846
2761,1.782395253
2762,0.265976964
2763,3.808956158
2764,13.42904139
2765,0.426305563
2766,0.497220084
2767,0.274811587
2769,2.861559249
2777,0.249060268
2778,0.205270039
2780,0.456318275
2783,0.34649592
2784,0.236221718
2785,0.231560868
2797,1.068983184
2798,0.456318275
2799,0.180425108
2801,0.30289883
2803,0.426305563
2804,1.057073369
2805,0.385776506
2806,0.52202507
2807,0.380958933
2808,0.264240601
2809,1.611177786
2810,0.27124697
2818,0.197115175
2819,1.849431758
2820,0.541343221
2822,0.280236477
2825,0.168452779
2826,12.1312339
2827,2.548126341
2828,0.933626233
2829,0.581892903
2831,0.871835781
2832,1.49452476
2833,1.502601255
2834,0.383361004
2835,0.46197215
2839,0.257395307
2840,0.479308646
2841,1.311890862
2842,1.290515674
2843,0.300950069
2844,0.169617419
2845,3.471821551
2851,0.104837811
2852,0.093253126
2853,13.6569224
2854,12.49773743
2855,0.348704198
2857,2.847251661
2858,0.293265819
2859,0.32508622
2860,0.571510678
2861,0.447952578
2862,2.000666828
2863,2.107491235
2874,0.405591986
2875,1.039429396
2876,0.675134205
2878,0.355404164
2879,1.214759456
2880,1.355586079
2881,0.724424797
2882,1.039429396
2883,0.837492403
2884,0.655491092
2885,8.532779119
2886,1.355586079
2887,0.663286619
2888,0.518865566
2889,0.39310426
2890,1.486486814
2892,1.311890862
2893,0.561293175
2906,0.482253516
2909,0.308812479
2910,0.297085897
2911,0.64014354
2913,0.362218127
2920,0.206657904
2923,0.169617419
2924,1.311890862
2925,0.242565623
2930,0.18166289
2931,0.198454018
2932,0.27124697
2933,0.353158259
2936,0.799717326
2937,4.703619821
2938,9.994389479
2939,9.401516784
2948,0.234658935
2950,11.72407811
2951,10.30308314
2952,0.437010136
2953,1.175124287
2954,11.67404619
2955,2.535218827
2957,0.353158259
2958,11.28056274
2959,11.23221449
2960,2.409299421
2961,2.16277765
2971,0.30289883
2972,0.293265819
2973,0.561293175
2974,0.357662736
2976,0.772386361
2977,1.535295952
2978,4.235367118
2984,0.231560868
2989,0.628843028
2990,0.213722922
2996,0.525201636
2998,0.482253516
2999,7.396243689
3000,8.017770611
3001,0.428959655
3002,7.840639799
3003,0.886932958
3005,2.011128559
3006,2.011128559
3007,0.518865566
3008,7.982063028
3009,1.063013475
3011,0.928332565
3018,0.724424797
3020,1.340879642
3021,1.02204727
3022,0.509488625
3023,0.473466738
3024,0.892016654
3026,0.852061125
3028,1.319085418
3029,0.503321182
3030,0.371483663
3034,0.603160806
3035,0.785946418
3036,51.01038965
3037,41.23742116
3038,24.42933246
3039,3.790513624
3040,62.56460192
3041,4.056061681
3046,2.000666828
3056,0.390648069
3057,0.482253516
3058,0.300950069
3059,0.260798023
3060,0.295170374
3061,0.385776506
3062,7.069762165
3065,0.679124923
3066,0.293265819
3067,5.780069103
3068,13.37260111
3071,0.400555274
3072,11.67404619
3073,132.4511593
3074,1.111610939
3075,0.534834512
3076,0.439723268
3077,2.748863395
3079,2.173988108
3080,37.98997762
3081,32.29082552
3082,1.6814032
3084,0.64777698
3091,0.410684823
3092,0.439723268
3093,2.978336535
3094,0.585390649
3095,13.14893926
3096,0.75903433
3097,0.337786392
3099,0.581892903
3101,0.376194825
3102,0.274811587
3103,1.454717308
3104,0.64014354
3108,2.129453444
3109,0.625115732
3110,0.71599436
3111,0.659378632
3114,0.842323887
3115,0.42104106
3116,0.741550396
3117,0.247422305
3119,7.296922657
3120,0.818411468
3121,0.439723268
3122,0.274811587
3123,0.249060268
3124,0.260798023
3125,0.234658935
3127,0.287617419
3128,0.655491092
3129,0.695297958
3130,0.282065775
3131,2.173988108
3132,78.2561422
3133,1.820432699
3141,0.215161371
3147,0.912611012
3149,0.180425108
3150,0.176756546
3151,279.1757372
3152,4.954533792
3154,79.07053662
3155,1.672479021
3157,0.525201636
3158,0.353158259
3159,0.369147777
3160,0.568086654
3161,6.664485359
3162,11.42671755
3163,8.997360738
3164,3.145806114
3165,0.423666055
3166,0.628843028
3167,0.447952578
3168,1.162170004
3170,115.4070533
3171,1.162170004
3172,0.485214432
3173,0.434311871
3176,3.902368658
3177,31.31860886
3178,1.087071227
3179,13.14893926
3180,3.902368658
3182,21.09272774
3183,1.717523997
3184,0.866854316
3185,2.02163881
3186,2.085730274
3187,7.49676262
3189,1.518870535
3192,0.473466738
3193,0.431628401
3194,2.185250103
3195,0.886932958
3196,0.503321182
3199,0.337786392
3200,0.434311871
3201,0.695297958
3202,3.272798059
3203,0.933626233
3205,0.308812479
3206,2.80470904
3207,1.9695708
3208,0.606771735
3209,21.09272774
3212,2.721312421
3213,7.396243689
3214,4.593344805
3215,2.458984978
3216,1.25557652
3218,0.578413716
3219,0.413252459
3220,0.724424797
3221,0.581892903
3222,1.175124287
3223,1.045281457
3224,0.547922127
3231,1.868991498
3233,0.316856643
3234,0.32508622
3235,0.314828363
3236,0.534834512
3237,6.544003911
3238,29.908965
3255,0.886932958
3256,0.96049852
3257,2.011128559
3258,1.462602662
3262,0.96049852
3269,0.107926363
3270,0.108711005
3271,0.110295494
3272,0.528395345
3274,0.116003853
3275,49.55061459
3276,1.201417906
3281,1.241837631
3284,0.117682246
3285,0.104837811
3286,241.5387315
3291,0.283905662
3292,0.274811587
3293,0.378570228
3296,35.90798681
3297,1.221479404
3298,0.687169217
3299,904.4800051
3300,741.3938307
3301,6.544003911
3305,0.628843028
3306,0.871835781
3307,8.532779119
3308,0.667215148
3309,0.614051195
3311,0.568086654
3312,56.62732674
3313,126.1236633
3314,389.0518936
3315,2.890365975
3333,0.445194417
3334,0.574953003
3335,0.52202507
3339,0.42104106
3340,0.357662736
3341,0.881874989
3342,2.242340405
3343,3.454835502
3344,191.1016569
3345,1.6814032
3346,1.810856422
3351,0.403066648
3352,3.288987652
3353,4.095314344
3358,0.437010136
3361,0.64014354
3362,1.619811163
3363,199.6206175
3364,4.235367118
3365,1.577051194
3368,0.720198631
3369,0.564680849
3370,1.49452476
3372,1.478487256
3373,1.168631216
3374,0.707651103
3378,2.032197777
3379,16.67185675
3381,7.069762165
3382,3.699484347
3383,347.4318557
3384,0.876842634
3387,88.84016604
3388,4.337990755
3389,0.745887532
3390,0.58890704
3391,0.732943209
3392,0.856967099
3394,0.410684823
3395,0.813701941
3396,0.912611012
3397,1.074982627
3398,0.785946418
3400,1.087071227
3403,0.337786392
3404,0.329271699
3405,0.982488243
3407,1.188206553
3408,0.917825071
3409,25.70824564
3410,3.256679227
3411,3.699484347
3412,13.48569297
3413,1.726661093
3415,2.129453444
3416,0.603160806
