"","date","Prieta_pool0","daily_discharge_max"
"393","2007-09-18",0.0104166666666667,0.011
"394","2007-09-19",0.0109895833333333,0.011
"395","2007-09-20",0.01034375,0.011
"396","2007-09-21",0.0106875,0.011
"397","2007-09-22",0.0101875,0.011
"398","2007-09-23",0.0103333333333333,0.023
"399","2007-09-24",0.0095625,0.01
"400","2007-09-25",0.01003125,0.011
"401","2007-09-26",0.00952083333333333,0.01
"402","2007-09-27",0.0103541666666667,0.011
"403","2007-09-28",0.01746875,0.125
"404","2007-09-29",0.009,0.009
"405","2007-09-30",0.00983333333333333,0.019
"406","2007-10-01",0.0116458333333333,0.036
"407","2007-10-02",0.0090625,0.01
"408","2007-10-03",0.00975,0.01
"409","2007-10-04",0.00953125,0.01
"410","2007-10-05",0.00908333333333333,0.01
"411","2007-10-06",0.00964583333333333,0.01
"412","2007-10-07",0.01,0.01
"413","2007-10-08",0.01,0.01
"414","2007-10-09",0.0100208333333333,0.011
"415","2007-10-10",0.0102708333333333,0.011
"416","2007-10-11",0.009875,0.011
"417","2007-10-12",0.0101875,0.011
"418","2007-10-13",0.0103645833333333,0.011
"419","2007-10-14",0.00982291666666667,0.011
"420","2007-10-15",0.0106979166666667,0.011
"421","2007-10-16",0.01096875,0.011
"422","2007-10-17",0.011,0.011
"423","2007-10-18",0.011,0.011
"424","2007-10-19",0.0110104166666667,0.012
"425","2007-10-20",0.0110208333333333,0.012
"426","2007-10-21",0.0108854166666667,0.011
"427","2007-10-22",0.011,0.011
"428","2007-10-23",0.00995833333333333,0.011
"429","2007-10-24",0.00988541666666667,0.011
"430","2007-10-25",0.00963541666666667,0.011
"431","2007-10-26",0.0117604166666667,0.018
"432","2007-10-27",0.0179166666666667,0.062
"433","2007-10-28",0.0266354166666667,0.096
"434","2007-10-29",0.0153541666666667,0.05
"435","2007-10-30",0.01025,0.015
"436","2007-10-31",0.009,0.009
"437","2007-11-01",0.009,0.009
"438","2007-11-02",0.009,0.009
"439","2007-11-03",0.00902083333333333,0.01
"440","2007-11-04",0.00910416666666667,0.01
"441","2007-11-05",0.0095625,0.01
"442","2007-11-06",0.00997916666666667,0.01
"443","2007-11-07",0.01,0.01
"444","2007-11-08",0.01,0.01
"445","2007-11-09",0.01,0.01
"446","2007-11-10",0.0100104166666667,0.011
"447","2007-11-11",0.0101458333333333,0.011
"448","2007-11-12",0.010125,0.011
"449","2007-11-13",0.0122708333333333,0.039
"450","2007-11-14",0.00947916666666667,0.01
"451","2007-11-15",0.01,0.01
"452","2007-11-16",0.01,0.01
"453","2007-11-17",0.0100833333333333,0.011
"454","2007-11-18",0.0103958333333333,0.011
"455","2007-11-19",0.00928125,0.01
"456","2007-11-20",0.00976041666666667,0.013
"457","2007-11-21",0.00951041666666667,0.018
"458","2007-11-22",0.0153333333333333,0.079
"459","2007-11-23",0.00901041666666667,0.01
"460","2007-11-24",0.009,0.009
"461","2007-11-25",0.00920833333333333,0.01
"462","2007-11-26",0.00940625,0.01
"463","2007-11-27",0.00998958333333333,0.01
"464","2007-11-28",0.00989583333333333,0.01
"465","2007-11-29",0.009,0.009
"466","2007-11-30",0.0100208333333333,0.015
"467","2007-12-01",0.01409375,0.025
"468","2007-12-02",0.01703125,0.051
"469","2007-12-03",0.00907291666666667,0.01
"470","2007-12-04",0.009,0.009
"471","2007-12-05",0.00922916666666667,0.011
"472","2007-12-06",0.009,0.009
"473","2007-12-07",0.009,0.009
"474","2007-12-08",0.00941666666666667,0.012
"475","2007-12-09",0.0102708333333333,0.014
"476","2007-12-10",0.0134895833333333,0.068
"477","2007-12-11",0.03671875,0.113
"478","2007-12-12",0.0163333333333333,0.041
"479","2007-12-13",0.00991666666666667,0.014
"480","2007-12-14",0.0141770833333333,0.022
"481","2007-12-15",0.0151041666666667,0.038
"482","2007-12-16",0.00911458333333333,0.01
"483","2007-12-17",0.009,0.009
"484","2007-12-18",0.009,0.009
"485","2007-12-19",0.009,0.009
"486","2007-12-20",0.009,0.009
"487","2007-12-21",0.009,0.009
"488","2007-12-22",0.009,0.009
"489","2007-12-23",0.009,0.009
"490","2007-12-24",0.009,0.009
"491","2007-12-25",0.009,0.009
"492","2007-12-26",0.009,0.009
"493","2007-12-27",0.01084375,0.019
"494","2007-12-28",0.0110104166666667,0.018
"495","2007-12-29",0.009,0.009
"496","2007-12-30",0.009,0.009
"497","2007-12-31",0.009,0.009
"498","2008-01-01",0.009,0.009
"499","2008-01-02",0.00901041666666667,0.01
"500","2008-01-03",0.009,0.009
"501","2008-01-04",0.00952083333333333,0.01
"502","2008-01-05",0.012125,0.026
"503","2008-01-06",0.0147395833333333,0.033
"504","2008-01-07",0.00913541666666667,0.01
"505","2008-01-08",0.009,0.009
"506","2008-01-09",0.009,0.009
"507","2008-01-10",0.0173229166666667,0.095
"508","2008-01-11",0.00939583333333333,0.011
"509","2008-01-12",0.009,0.009
"510","2008-01-30",0.009,0.009
"511","2008-01-31",0.009,0.009
"512","2008-02-01",0.00951041666666667,0.011
"513","2008-02-02",0.009,0.009
"514","2008-02-03",0.0116666666666667,0.019
"515","2008-02-04",0.013,0.02
"516","2008-02-05",0.00901041666666667,0.01
"517","2008-02-06",0.0296875,0.12
"518","2008-02-07",0.0194791666666667,0.04
"519","2008-02-08",0.0295104166666667,0.101
"520","2008-02-09",0.01421875,0.024
"521","2008-02-10",0.0090625,0.01
"522","2008-02-11",0.009,0.009
"523","2008-02-12",0.009,0.009
"524","2008-02-13",0.00901041666666667,0.01
"525","2008-02-14",0.011,0.019
"526","2008-02-15",0.00907291666666667,0.01
"527","2008-02-16",0.00903125,0.01
"528","2008-02-17",0.0170208333333333,0.046
"529","2008-02-18",0.01115625,0.018
"530","2008-02-19",0.0095,0.011
"531","2008-02-20",0.01,0.014
"532","2008-02-21",0.0370833333333333,0.107
"533","2008-02-22",0.014,0.031
"534","2008-02-23",0.009,0.009
"535","2008-02-24",0.009,0.009
"536","2008-02-25",0.00902083333333333,0.01
"537","2008-02-26",0.00914583333333333,0.01
"538","2008-02-27",0.009125,0.01
"539","2008-02-28",0.00954166666666667,0.011
"540","2008-02-29",0.015625,0.055
"541","2008-03-01",0.00923958333333333,0.01
"542","2008-03-02",0.00994791666666667,0.011
"543","2008-03-03",0.0390416666666667,0.245
"544","2008-03-04",0.009375,0.016
"545","2008-03-05",0.00978125,0.015
"546","2008-03-06",0.00970833333333333,0.013
"547","2008-03-07",0.0145104166666667,0.034
"548","2008-03-08",0.00901041666666667,0.01
"549","2008-03-09",0.0090625,0.01
"550","2008-03-10",0.00904166666666667,0.01
"551","2008-03-11",0.00904166666666667,0.01
"552","2008-03-12",0.0101770833333333,0.011
"553","2008-03-13",0.0105520833333333,0.012
"554","2008-03-14",0.0111041666666667,0.013
"555","2008-03-15",0.0116979166666667,0.013
"556","2008-03-16",0.011625,0.016
"557","2008-03-17",0.01025,0.012
"558","2008-03-18",0.0133645833333333,0.032
"559","2008-03-19",0.00965625,0.011
"560","2008-03-20",0.0101041666666667,0.011
"561","2008-03-21",0.01371875,0.034
"562","2008-03-22",0.00951041666666667,0.011
"563","2008-03-23",0.00933333333333333,0.011
"564","2008-03-24",0.0101145833333333,0.011
"565","2008-03-25",0.0105625,0.012
"566","2008-03-26",0.0101979166666667,0.013
"567","2008-03-27",0.01134375,0.013
"568","2008-03-28",0.0103333333333333,0.013
"569","2008-03-29",0.01290625,0.014
"570","2008-03-30",0.01359375,0.015
"571","2008-03-31",0.0135208333333333,0.015
"572","2008-04-01",0.0122395833333333,0.014
"573","2008-04-02",0.0770729166666667,0.579
"574","2008-04-03",0.23965625,1.464
"575","2008-04-04",0.0388854166666667,0.081
"576","2008-04-05",0.0101979166666667,0.013
"577","2008-04-06",0.0148020833333333,0.039
"578","2008-04-07",0.0113854166666667,0.018
"579","2008-04-08",0.02021875,0.147
"580","2008-04-09",0.02153125,0.123
"581","2008-04-10",0.00901041666666667,0.01
"582","2008-04-11",0.0094375,0.01
"583","2008-04-12",0.0101145833333333,0.011
"584","2008-04-13",0.0105104166666667,0.012
"585","2008-04-14",0.0101979166666667,0.013
"586","2008-04-15",0.00936458333333333,0.01
"587","2008-04-16",0.010625,0.012
"588","2008-04-17",0.0108958333333333,0.012
"589","2008-04-18",0.01165625,0.013
"590","2008-04-19",0.01203125,0.013
"591","2008-04-20",0.0125104166666667,0.015
"592","2008-04-21",0.0131458333333333,0.015
"593","2008-04-22",0.0114166666666667,0.014
"594","2008-04-23",0.0131041666666667,0.015
"595","2008-04-24",0.0136875,0.016
"596","2008-04-25",0.0214895833333333,0.107
"597","2008-04-26",0.0105416666666667,0.015
"598","2008-04-27",0.04475,0.525
"599","2008-04-28",0.0868854166666667,1.112
"600","2008-04-29",0.0114375,0.018
"601","2008-04-30",0.00957291666666667,0.011
"602","2008-05-01",0.00994791666666667,0.011
"603","2008-05-02",0.01025,0.012
"604","2008-05-03",0.00989583333333333,0.011
"605","2008-05-04",0.00989583333333333,0.011
"606","2008-05-05",0.0104791666666667,0.012
"607","2008-05-06",0.01159375,0.013
"608","2008-05-07",0.0120729166666667,0.014
"609","2008-05-08",0.0125,0.014
"610","2008-05-09",0.0130104166666667,0.015
"611","2008-05-10",0.0134270833333333,0.015
"612","2008-05-11",0.0139479166666667,0.016
"613","2008-05-12",0.01371875,0.016
"614","2008-05-13",0.01434375,0.017
"615","2008-05-14",0.0152083333333333,0.018
"616","2008-05-15",0.0150729166666667,0.017
"617","2008-05-16",0.0142916666666667,0.017
"618","2008-05-17",0.0153125,0.018
"619","2008-05-18",0.0158020833333333,0.019
